,HOME,AWAY,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
514,SAC,PHI,-10.975609756097569,-2.1695121951219676,1.0024390243902488,-1.8695121951219704,-1.4268292682926838,-5.09756097560976,-6.524390243902438,-5.524390243902438,-0.975609756097561,-2.7804878048780495,-2.097560975609756
515,SAS,PHX,-1.1951219512195053,1.4451219512195266,1.6878048780487447,4.051219512195132,0.0853658536585371,0.012195121951222632,0.09756097560975263,1.5243902439024382,1.0975609756097562,-2.5731707317073162,-4.865853658536583
516,TOR,POR,6.036585365853654,1.9182926829268325,-1.010975609756109,-1.7195121951219932,-0.42682926829268375,-1.0487804878048763,-1.4756097560975618,4.829268292682926,0.9390243902439028,-0.17073170731707243,2.2439024390243887
517,UTA,SAC,5.317073170731703,1.170731707317067,-1.037804878048803,4.2743902439024595,-0.43902439024390283,2.792682926829272,2.353658536585364,0.865853658536583,0.975609756097561,0.9756097560975618,-0.37804878048780566
518,WAS,SAS,3.878048780487802,0.9914634146341257,2.0707317073171083,-0.34024390243899916,-0.3170731707317067,-0.7804878048780495,-1.0975609756097526,2.402439024390244,-1.3048780487804876,1.4390243902439028,4.121951219512194
519,CHI,ATL,-0.42682926829269263,-1.1878048780487802,-0.9951219512194953,-3.00609756097559,0.573170731707318,2.1829268292682897,2.756097560975604,-0.2804878048780459,-0.7195121951219514,-1.548780487804878,-0.426829268292682
520,CLE,BKN,4.268292682926827,3.508536585365867,1.6475609756097498,-0.10609756097559853,-1.1951219512195124,-1.1097560975609753,-2.3048780487804876,-0.30487804878048763,-0.9512195121951219,-1.451219512195122,-2.0
521,DAL,BOS,-1.6951219512195195,-0.5768292682926983,-2.0390243902438954,-0.8439024390243617,-1.2317073170731714,-1.9634146341463392,-3.1951219512195124,0.19512195121951237,-0.7682926829268295,-1.7195121951219505,-0.4878048780487809
522,DEN,CHA,1.7804878048780495,1.974390243902434,0.43292682926829684,2.359756097560961,0.9146341463414629,-1.8658536585365795,-0.9512195121951166,3.524390243902438,0.37804878048780477,2.2560975609756095,1.512195121951219
523,DET,CHI,0.8414634146341484,1.431707317073183,1.876829268292667,-1.5658536585365823,0.48780487804877914,-1.414634146341463,-0.9268292682926784,-0.6707317073170742,0.3414634146341462,-0.5487804878048781,-0.7682926829268304
524,GSW,CLE,2.597560975609767,2.6292682926829443,1.6439024390243873,3.5841463414633807,-0.03658536585365724,1.414634146341463,1.3780487804878092,5.926829268292682,3.6585365853658542,1.6951219512195124,1.012195121951219
525,HOU,DAL,10.036585365853668,1.4792682926829315,0.29390243902438584,1.704878048780472,0.8902439024390247,1.3170731707317103,2.207317073170728,-1.1097560975609788,1.0,1.5609756097560972,0.23170731707317316
526,IND,DEN,-4.439024390243901,0.2731707317073031,-0.14390243902440147,1.0487804878048905,-1.3902439024390247,-0.7804878048780495,-2.170731707317074,-2.926829268292682,-0.7804878048780486,-1.6829268292682933,0.13414634146341342
527,LAC,DET,5.2195121951219505,2.2804878048780637,-2.112195121951231,-0.20609756097559284,0.024390243902439934,0.1219512195121979,0.14634146341462895,-0.4390243902439046,0.6707317073170729,1.2439024390243905,1.585365853658537
528,LAL,GSW,-5.390243902439025,-4.263414634146372,-4.882926829268293,-9.547560975609727,2.2560975609756095,0.6097560975609753,2.8658536585365795,-5.524390243902438,-2.7317073170731714,0.3658536585365848,1.573170731707318
529,MEM,HOU,-13.024390243902445,-1.604878048780492,-1.284146341463405,0.18658536585367358,0.4878048780487809,-3.4268292682926855,-2.939024390243901,-0.0,0.04878048780487809,1.1219512195121943,3.6951219512195124
530,MIA,IND,-2.146341463414629,-1.7048780487804862,-0.7792682926829357,-2.568292682926824,-0.30487804878048763,1.4268292682926784,1.1219512195121908,0.5243902439024382,1.1829268292682924,1.0975609756097562,1.2682926829268304
531,MIL,LAC,-2.5121951219512226,0.5963414634146247,0.5109756097561089,4.475609756097569,-1.7560975609756095,-2.2804878048780495,-4.036585365853654,0.8902439024390247,0.8658536585365857,-0.8414634146341466,1.3902439024390247
532,MIN,LAL,1.439024390243901,1.6621951219512354,1.802439024390253,8.387804878048797,-0.34146341463414664,-4.073170731707318,-4.414634146341463,-1.073170731707318,-0.524390243902439,-3.3414634146341466,-2.9390243902439046
533,NOP,MEM,12.390243902439025,4.007317073170739,0.845121951219511,-0.7743902439024737,-0.8170731707317067,4.621951219512198,3.8048780487804876,5.219512195121954,1.085365853658537,-0.04878048780487809,-4.024390243902442
